document_id,title,uploaded_at
f8f82fe0-8e1c-448a-a4c7-988ca9256b5a,[1] Cognitive Functions - Optimistic vs Pessimistic - Foundation,2025-10-25 02:33 PM
7c27e2e7-ad22-4c29-a25b-c511cbde51dd,[1] Jungian Personality Types - Introduction - Foundation,2025-10-25 02:33 PM
48634aad-f696-41c1-95e8-c6729f8c1524,[1] Cognitive Functions - How They Work - Foundation,2025-10-25 02:33 PM
823fbd4a-274a-4db3-b665-c0b0b12243f2,[1] Extraverted Feeling Fe - Individual Function - Foundation,2025-10-25 02:33 PM
28a1d0b9-3b98-4227-887a-3b75718dda3e,[1] Four Sides of the Mind - Introduction - Foundation,2025-10-25 02:33 PM
dacf3c93-b36a-4a22-974d-3e30b44616eb,[1] Cognitive Axis - Explanation - Foundation,2025-10-25 02:33 PM
4bf8fcf6-6672-4244-a971-0e45aaa1a9b5,[1] Cognitive Transitions - Impact on Four Sides - Foundation,2025-10-25 02:33 PM
47648c03-c575-4856-8aa8-dd452255c3ca,[1] Eight Cognitive Spectra - Overview - Foundation,2025-10-25 02:34 PM
698a295a-b8ea-45d9-9a47-1ee05383f3ca,[1] Functional Emulation - Social Engineering - Foundation,2025-10-25 02:34 PM
be4ab356-f3b8-49ac-b460-ddf4fb325e22,[1] Introverted Sensing Si - Individual Function - Foundation,2025-10-25 02:34 PM
a2297710-6f69-4fa6-8562-4199da8b506d,[1] Extraverted Sensing Se - Individual Function - Foundation,2025-10-25 02:34 PM
ef51f8b4-2a6c-49eb-bf63-e616da6db364,[1] Introverted Intuition Ni - Individual Function - Foundation,2025-10-25 02:34 PM
2776f175-6abe-48b9-81ba-0c046015394d,[1] Extraverted Thinking Te - Individual Function - Foundation,2025-10-25 02:34 PM
1d9018cd-aa2e-4b71-bf75-64282b852850,[1] Extraverted Intuition Ne - Individual Function - Foundation,2025-10-25 02:34 PM
f7fac420-1906-449c-a42b-96408c20a80f,[1] Introverted Feeling Fi - Individual Function - Foundation,2025-10-25 02:34 PM
84a8ebbb-e983-4dbd-924c-36e1764d790f,[1] Introverted Thinking Ti - Individual Function - Foundation,2025-10-25 02:34 PM
7da7b48b-e6ac-41b8-a420-1c9c76d73301,[2] Interaction Styles - Social Moratoriums Impact - All Types,2025-10-25 02:37 PM
a33ab235-7052-48c0-bc76-1acf6ad4de28,[2] Type Grid - How To Type Anyone - Practical Guide,2025-10-25 02:37 PM
d29b2c61-b6a5-4ca2-9f31-324918833af5,[2] Communication Styles - Finisher Types - Framework - ISTJ ISTP INTJ INFJ,2025-10-25 02:37 PM
aed208e3-92e1-47ba-af60-31a82dd18011,[2] Temperaments - NT Intellectuals - Framework - ENTJ ENTP INTJ INTP,2025-10-25 02:37 PM
4ba045f0-c06f-4a33-aad6-53ceedb19414,[2] Interaction Styles - Structure In Charge - Framework - ESTJ ESTP ENTJ ENFJ,2025-10-25 02:37 PM
d119f2fb-d251-4e8e-8bde-e08bf55cff75,[2] Interaction Styles - Starters Get Things Going - Framework - ESFJ ESFP ENTP ENFP,2025-10-25 02:37 PM
ce29080b-408a-464e-b432-cf7d073080d1,[2] Temperaments - SP Artisans - Framework - ESTP ESFP ISTP ISFP,2025-10-25 02:37 PM
68ca3b89-d6ae-4dd2-bab2-7b3502da87e6,[2] Temperaments - NF Idealists - Framework - ENFJ ENFP INFJ INFP,2025-10-25 02:37 PM
598e58fe-b0bd-445c-bcec-73d9cbeb8ee2,[2] Communication Styles - Background Types - Framework - ISFJ ISFP INTP INFP,2025-10-25 02:37 PM
d2c2cfbb-6464-41a4-aa6e-097566e757ce,[2] Temperaments - SJ Guardians - Framework - ESTJ ESFJ ISTJ ISFJ,2025-10-25 02:37 PM
7d54b52e-2e2b-4f2b-8038-99594cb40f05,[2] MBTI Tests - Problems and Accuracy - Critical Analysis,2025-10-25 02:37 PM
19ca94ab-dfb0-4566-bea1-cfd784daf574,[3] ISFJ - Type Profile - The Knight,2025-10-25 02:38 PM
6c0c5308-a413-447f-b5b7-fa4900a71bde,[3] ESFP - Type Profile - The Duelist,2025-10-25 02:38 PM
5ca1c644-5a8b-4181-b9d2-5bdba777f4aa,[3] ESTP - Type Profile - The Gladiator,2025-10-25 02:38 PM
1a84b26b-0a67-418d-a4c8-4be6a5bfb12e,[3] ISTJ - Type Profile - The Archivist,2025-10-25 02:38 PM
5fb21877-38c4-4bf1-82a1-8a10ebe25fa8,[3] ENFP - Type Profile - The Bard,2025-10-25 02:38 PM
